year;duration;divorces_count
2000;0-4 years;1645
2000;5-9 years;3378
2000;10-14 years;1972
2000;15-19 years;1258
2000;20 years or more;2258
2001;0-4 years;2137
2001;5-9 years;4883
2001;10-14 years;3334
2001;15-19 years;1965
2001;20 years or more;3459
2002;0-4 years;2152
2002;5-9 years;4988
2002;10-14 years;3455
2002;15-19 years;2225
2002;20 years or more;3543
2003;0-4 years;2124
2003;5-9 years;5117
2003;10-14 years;3418
2003;15-19 years;2345
2003;20 years or more;3795
2004;0-4 years;2157
2004;5-9 years;5249
2004;10-14 years;3764
2004;15-19 years;2606
2004;20 years or more;4173
2005;0-4 years;2174
2005;5-9 years;6171
2005;10-14 years;4302
2005;15-19 years;3322
2005;20 years or more;5363
2006;0-4 years;2124
2006;5-9 years;5776
2006;10-14 years;4066
2006;15-19 years;3484
2006;20 years or more;5531
2007;0-4 years;2160
2007;5-9 years;5483
2007;10-14 years;3701
2007;15-19 years;3158
2007;20 years or more;5380
2008;0-4 years;2037
2008;5-9 years;5502
2008;10-14 years;3552
2008;15-19 years;3171
2008;20 years or more;5351
2009;0-4 years;2026
2009;5-9 years;5462
2009;10-14 years;3598
2009;15-19 years;2953
2009;20 years or more;5282
2010;0-4 years;2454
2010;5-9 years;6117
2010;10-14 years;4087
2010;15-19 years;3216
2010;20 years or more;6207
2011;0-4 years;2073
2011;5-9 years;4795
2011;10-14 years;3162
2011;15-19 years;2543
2011;20 years or more;4993
2012;0-4 years;2138
2012;5-9 years;4710
2012;10-14 years;3218
2012;15-19 years;2435
2012;20 years or more;5049
2013;0-4 years;2079
2013;5-9 years;4563
2013;10-14 years;3199
2013;15-19 years;2277
2013;20 years or more;5001
2014;0-4 years;2062
2014;5-9 years;4256
2014;10-14 years;3044
2014;15-19 years;2320
2014;20 years or more;5055
2015;0-4 years;2077
2015;5-9 years;4324
2015;10-14 years;3192
2015;15-19 years;2379
2015;20 years or more;4988
2016;0-4 years;2020
2016;5-9 years;4183
2016;10-14 years;3356
2016;15-19 years;2439
2016;20 years or more;5030
2017;0-4 years;1900
2017;5-9 years;3917
2017;10-14 years;3039
2017;15-19 years;2300
2017;20 years or more;4750
2018;0-4 years;1973
2018;5-9 years;4003
2018;10-14 years;3154
2018;15-19 years;2387
2018;20 years or more;5025
2019;0-4 years;1973
2019;5-9 years;3924
2019;10-14 years;3291
2019;15-19 years;2508
2019;20 years or more;5189
2020;0-4 years;1823
2020;5-9 years;3645
2020;10-14 years;3171
2020;15-19 years;2431
2020;20 years or more;5140
2021;0-4 years;1701
2021;5-9 years;3788
2021;10-14 years;3552
2021;15-19 years;2687
2021;20 years or more;5431
2022;0-4 years;1613
2022;5-9 years;3578
2022;10-14 years;3271
2022;15-19 years;2581
2022;20 years or more;5158
2023;0-4 years;1513
2023;5-9 years;3538
2023;10-14 years;3097
2023;15-19 years;2476
2023;20 years or more;4974
