gender;age;pdf;cdf
F;17;0;0
F;18;0.07;0.07
F;19;0.095;0.15835
F;20;0.12;0.259348
F;21;0.145;0.36674254
F;22;0.18;0.480728883
F;23;0.22;0.594968529
F;24;0.255;0.698251554
F;25;0.29;0.785758603
F;26;0.32;0.85431585
F;27;0.315;0.900206357
F;28;0.31;0.931142387
F;29;0.3;0.951799671
F;30;0.29;0.965777766
F;30;0.29;0.965777766
F;31;0.29;0.975702214
F;32;0.29;0.982748572
F;33;0.29;0.987751486
F;34;0.29;0.991303555
F;35;0.29;0.993825524
F;36;0.29;0.995616122
F;37;0.29;0.996887447
F;38;0.29;0.997790087
F;39;0.29;0.998430962
F;40;0.29;0.998885983
F;41;0.29;0.999209048
F;42;0.29;0.999438424
F;43;0.29;0.999601281
F;44;0.29;0.99971691
F;45;0.29;0.999799006
F;46;0.29;0.999857294
F;47;0.29;0.999898679
F;48;0.29;0.999928062
F;49;0.29;0.999948924
F;50;0.29;0.999963736
F;51;0.29;0.999974253
F;52;0.29;0.999981719
F;53;0.29;0.999987021
F;54;0.29;0.999990785
F;55;0.29;0.999993457
F;56;0.29;0.999995355
F;57;0.29;0.999996702
F;58;0.29;0.999997658
F;59;0.29;0.999998337
F;60;0.29;0.99999882
F;61;0.29;0.999999162
F;62;0.29;0.999999405
F;63;0.29;0.999999577
F;64;0.29;0.9999997
F;65;0.29;0.999999787
F;66;0.29;0.999999849
F;67;0.29;0.999999893
F;68;0.29;0.999999924
F;69;0.29;0.999999946
F;70;0.29;0.999999962
M;17;0;0
M;18;0.04;0.04
M;19;0.06;0.0976
M;20;0.085;0.174304
M;21;0.115;0.26925904
M;22;0.13;0.364255365
M;23;0.145;0.456438337
M;24;0.155;0.540690395
M;25;0.165;0.61647648
M;26;0.17;0.681675478
M;27;0.175;0.737382269
M;28;0.175;0.783340372
M;29;0.175;0.821255807
M;30;0.175;0.852536041
M;31;0.175;0.878342234
M;32;0.175;0.899632343
M;33;0.175;0.917196683
M;34;0.175;0.931687263
M;35;0.175;0.943641992
M;36;0.175;0.953504644
M;37;0.175;0.961641331
M;38;0.175;0.968354098
M;39;0.175;0.973892131
M;40;0.175;0.978461008
M;41;0.175;0.982230332
M;42;0.175;0.985340024
M;43;0.175;0.987905519
M;44;0.175;0.990022054
M;45;0.175;0.991768194
M;46;0.175;0.99320876
M;47;0.175;0.994397227
M;48;0.175;0.995377712
M;49;0.175;0.996186613
M;50;0.175;0.996853956
M;51;0.175;0.997404513
M;52;0.175;0.997858723
M;53;0.175;0.998233447
M;54;0.175;0.998542594
M;55;0.175;0.99879764
M;56;0.175;0.999008053
M;57;0.175;0.999181644
M;58;0.175;0.999324856
M;59;0.175;0.999443006
M;60;0.175;0.99954048
M;61;0.175;0.999620896
M;62;0.175;0.999687239
M;63;0.175;0.999741972
M;64;0.175;0.999787127
M;65;0.175;0.99982438
M;66;0.175;0.999855113
M;67;0.175;0.999880469
M;68;0.175;0.999901387
M;69;0.175;0.999918644
M;70;0.175;0.999932881
