year;gender;pdf;cdf
18;F;0.060;0.000
19;F;0.065;0.060
20;F;0.085;0.121
21;F;0.105;0.196
22;F;0.120;0.280
23;F;0.130;0.367
24;F;0.140;0.449
25;F;0.140;0.526
26;F;0.140;0.592
27;F;0.140;0.650
28;F;0.135;0.699
29;F;0.135;0.739
30;F;0.125;0.774
31;F;0.120;0.803
32;F;0.100;0.826
33;F;0.090;0.844
34;F;0.080;0.858
35;F;0.070;0.869
36;F;0.065;0.878
37;F;0.060;0.886
38;F;0.055;0.893
39;F;0.055;0.899
40;F;0.055;0.904
18;M;0.015;0
19;M;0.016;0.015
20;M;0.050;0.03076
21;M;0.060;0.079222
22;M;0.070;0.13446868
23;M;0.075;0.195055872
24;M;0.080;0.255426682
25;M;0.085;0.314992547
26;M;0.110;0.373218181
27;M;0.115;0.442164181
28;M;0.130;0.5063153
29;M;0.140;0.570494311
30;M;0.125;0.630625108
31;M;0.120;0.676796969
32;M;0.110;0.715581333
33;M;0.095;0.746867386
34;M;0.090;0.770914985
35;M;0.075;0.791532636
36;M;0.070;0.807167688
37;M;0.065;0.82066595
38;M;0.065;0.832322663
39;M;0.065;0.84322169
40;M;0.065;0.85341228
