household_id;notes;ambito;hh_start;hh_end;end_cause;type;features
0;famiglia della nonna ac;1;1920;1994;death last member;;
1;famiglia della mamma;1;1955;2017;death last member;;
2;famiglia del babbo;1;1960;9999;None;;
3;noi;1;1995;9999;None;;
4;io da solo;1;2021;9999;None;;
31;babbo single;1;1985;1995;new couple;;
5;famiglia fl;2;1989;9999;None;;
6;famiglia mat;2;1991;9999;None;;
7;fl + mat;2;2021;9999;None;;
24;fam padre fl ;2;1959;2011;death last member;;
25;fam madre fl;2;1963;9999;None;;
26;fam padre mat;2;1954;2019;death last member;;
27;fam madre mat;2;1958;2024;death last member;;
8;fam jp;3;1954;2007;death last member;;
9;fam bt;3;1962;9999;None;;
10;famiglia cate;3;1989;2002;divorce;;
11;jp post divorzio (con pazza;3;2005;2015;divorce;;
12;bt post divorzio (matrimonio pino);3;2004;2014;divorce;;
13;leda single;3;2023;9999;None;;
14;cate single;3;2023;9999;None;;
16;fam pazza + bimbi post divorzio;3;2016;9999;None;;
17;nonni ceci e matti;3;1969;9999;None;;
18;fam padre pino post divorzio ;3;2014;9999;None;;
19;nonni pino lato papa;3;1959;9999;None;;
20;jp single post divorzio 1;3;2002;2005;new couple;;
21;bt single + figlie post divorzio 1;3;2002;2004;new couple;;
22;jp single post divorzio 2;3;2015;2018;new couple;;
23;bt single + figlie e pino post divorzio 2;3;2014;9999;None;;
28;fam nonna ceci e matti;3;1945;1998;death last member;;
29;fam nonno ceci e matti;3;1939;1992;death last member;;
30;fam nonno pino;3;1932;1994;death last member;;
32;mamma single;1;1988;1995;new couple;;
33;nonna single;1;1953;1960;new couple;;
